"","ID","school","grade","age_T1","gender_T1","hsc1_T1","hsc2_T1","hsc3_T1","hsc4_T1","hsc5_T1","hsc6_T1","hsc7_T1","hsc8_T1","hsc9_T1","hsc10_T1","hsc11_T1","hsc12_T1","wb1_T1","wb2_T1","wb3_T1","wb4_T1","wb5_T1","ev1_T1","ev2_T1","age_T2","gender_T2","hsc1_T2","hsc2_T2","hsc3_T2","hsc4_T2","hsc5_T2","hsc6_T2","hsc7_T2","hsc8_T2","hsc9_T2","hsc10_T2","hsc11_T2","hsc12_T2","wb1_T2","wb2_T2","wb3_T2","wb4_T2","wb5_T2","ev1_T2","ev2_T2","age_T3","gender_T3","hsc1_T3","hsc2_T3","hsc3_T3","hsc4_T3","hsc5_T3","hsc6_T3","hsc7_T3","hsc8_T3","hsc9_T3","hsc10_T3","hsc11_T3","hsc12_T3","wb1_T3","wb2_T3","wb3_T3","wb4_T3","wb5_T3","ev1_T3","ev2_T3","age_T4","gender_T4","hsc1_T4","hsc2_T4","hsc3_T4","hsc4_T4","hsc5_T4","hsc6_T4","hsc7_T4","hsc8_T4","hsc9_T4","hsc10_T4","hsc11_T4","hsc12_T4","wb1_T4","wb2_T4","wb3_T4","wb4_T4","wb5_T4","ev1_T4","ev2_T4","eoe_T1","lst_T1","aes_T1","hsc_T1","eoe_T2","lst_T2","aes_T2","hsc_T2","eoe_T3","lst_T3","aes_T3","hsc_T3","eoe_T4","lst_T4","aes_T4","hsc_T4","hsc_onemonth","wb_T1","wb_T2","wb_T3","wb_T4","wb_onemonth","ev_T1","ev_T2","ev_T3","ev_T4","ev_onemonth"
"40",186,0,1,19,"1",5,5,6,5,6,4,4,4,5,7,5,7,3,3,2,1,1,2,-2,19,"1",5,4,6,5,7,5,4,5,4,6,5,7,2,3,3,2,1,-2,-3,19,"1",5,5,6,4,7,5,4,5,5,7,5,7,2,2,3,1,1,2,0,19,"1",5,5,6,5,7,5,4,4,5,7,5,7,2,2,3,1,1,1,3,5,5,6,5.33333333333333,5.2,4.5,6,5.23333333333333,5.2,5,6.25,5.48333333333333,5.2,5,6.25,5.48333333333333,5.38333333333333,2,2.2,1.8,1.8,1.95,0,-2.5,1,2,0.125
"41",187,0,1,20,"0",7,7,7,5,4,4,1,4,5,7,7,1,1,1,1,1,3,3,-3,20,"0",6,6,6,3,3,2,3,4,5,5,6,2,1,1,1,1,2,-3,-2,20,"0",6,6,6,2,3,2,2,2,5,6,2,2,1,1,1,1,1,0,-1,20,"0",6,6,6,1,5,2,1,2,4,6,6,2,1,1,1,1,1,-3,3,3.8,7,6.25,5.68333333333333,3.2,6,5,4.73333333333333,2.6,4,5.25,3.95,2.2,6,5.75,4.65,4.75416666666667,1.4,1.2,1,1,1.15,0,-2.5,-0.5,0,-0.75
"42",188,0,1,19,"0",5,3,4,4,4,5,5,5,3,6,4,7,2,2,3,1,3,-3,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,"0",5,5,4,4,5,5,5,5,5,5,5,6,1,1,1,1,2,3,-2,4.8,3.5,4.75,4.35,.,.,.,.,.,.,.,.,5,5,4.75,4.91666666666667,.,2.2,.,.,1.2,.,-1.5,.,.,0.5,.
"43",189,0,1,20,"1",7,3,7,3,7,1,6,2,1,7,3,2,4,3,5,1,5,3,-3,20,"1",6,2,7,2,7,2,6,2,1,7,2,5,5,5,5,2,5,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,"1",6,2,7,3,7,2,6,2,1,7,2,2,5,5,3,2,5,3,3,1.8,3,7,3.93333333333333,2.4,2,6.75,3.71666666666667,.,.,.,.,2,2,6.75,3.58333333333333,.,3.6,4.4,.,4,.,0,3,.,3,.
"44",193,0,1,19,"1",6,5,5,5,5,6,4,6,3,6,4,6,3,3,4,1,3,3,2,19,"1",6,5,5,5,5,6,4,5,4,2,5,6,4,4,4,1,4,3,3,19,"1",7,7,5,7,7,7,4,7,7,4,7,5,1,1,4,2,2,-3,-3,19,"1",5,5,5,5,5,5,5,5,3,5,6,5,4,4,3,4,1,3,3,5.2,4.5,5.5,5.06666666666667,5.2,5,4.5,4.9,6.6,7,5.75,6.45,4.6,5.5,5,5.03333333333333,5.3625,2.8,3.4,2,3.2,2.85,2.5,3,-3,3,1.375
"45",194,0,1,18,"0",5,3,3,5,7,6,4,4,1,7,5,6,4,4,4,4,2,3,-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.4,4,5.5,4.63333333333333,.,.,.,.,.,.,.,.,.,.,.,.,.,3.6,.,.,.,.,0,.,.,.,.
"46",197,0,1,19,"1",5,5,2,6,6,2,7,2,2,7,2,2,0,0,0,2,2,-3,3,19,"1",3,6,2,1,7,2,6,2,2,6,3,2,3,3,2,1,3,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.8,3.5,5,3.76666666666667,1.8,4.5,4.5,3.6,.,.,.,.,.,.,.,.,.,0.8,2.4,.,.,.,0,3,.,.,.
"47",198,0,2,21,"0",5,6,7,6,5,7,2,4,5,7,4,6,3,5,1,2,1,3,2,21,"0",5,7,7,6,7,7,3,6,6,7,4,6,2,4,3,2,2,2,-3,21,"0",6,7,7,6,6,6,2,5,6,6,5,6,3,4,4,3,2,-3,3,21,"0",7,6,7,6,5,6,7,6,7,7,4,6,2,2,1,2,0,3,3,5.6,5,6,5.53333333333333,6.2,5.5,6.5,6.06666666666667,5.8,6,6.25,6.01666666666667,6.2,5,6.5,5.9,5.87916666666667,2.4,2.6,3.2,1.4,2.4,2.5,-0.5,0,3,1.25
"48",199,0,1,19,"1",6,5,7,7,7,4,6,5,1,7,5,7,3,2,4,2,4,2,-3,19,"1",6,6,7,7,7,5,7,5,2,7,7,7,3,2,4,1,4,-3,-3,19,"1",6,6,7,7,7,7,7,6,1,7,6,7,1,1,5,1,4,-3,-3,19,"1",6,5,7,7,7,6,7,5,2,7,5,7,4,3,5,3,5,3,-3,4.8,5,6.75,5.51666666666667,5.2,6.5,6.75,6.15,5.6,6,6.75,6.11666666666667,5.4,5,6.75,5.71666666666667,5.875,3,2.8,2.4,4,3.05,-0.5,-3,-3,0,-1.625
"49",200,0,1,18,"1",2,7,4,4,6,7,5,2,6,7,7,6,5,1,5,1,5,2,3,18,"1",6,7,3,6,6,7,7,4,6,6,7,5,4,3,3,2,4,3,-1,18,"1",4,7,5,6,5,7,5,7,5,7,7,5,5,5,3,4,3,-3,0,18,"1",5,7,5,7,5,7,7,7,6,7,7,7,1,1,3,1,0,-3,1,5,7,4.75,5.58333333333333,5.6,7,5.25,5.95,6,7,5.25,6.08333333333333,6.8,7,5.5,6.43333333333333,6.0125,3.4,3.2,4,1.2,2.95,2.5,1,-1.5,-1,0.25
